gene_symbol,RED,pvalue,p_adj,padj,APAreg,APAreg2,gene_label
DPP9,0.1632409505034,0.4037747930944,0.714429893929503,0.781904125600943,NC,NC,no
DPY19L1,0.23987466337458,0.655362552076394,0.865147534826701,0.955033597405746,NC,NC,no
DPY19L3,0.106200595945014,0.483068851195806,0.764643165934379,0.770533797306423,NC,NC,no
DPY19L4,-0.166465227000307,0.70961315553579,0.889370105602525,0.889233175102734,NC,NC,no
DPYSL2,0.0360902462269129,0.370440477472904,0.692560580555984,0.707984732036818,NC,NC,no
DPYSL3,0.0556747663620134,0.194943929040301,0.536588087509921,0.41648879158192,NC,NC,no
DPYSL5,0.183657668042908,0.147215825787207,0.482841712016537,0.2333838789689,NC,NC,no
DR1,0.400167350417373,0.0364303979090041,0.284357297375719,0.0350784155274464,UP,distal,no
DRAM2,0.324748266510894,0.198800284581559,0.540069024639702,0.31399541459751,NC,NC,no
DRAXIN,0.0236030677544401,0.391300183215328,0.708492647369484,0.847054222110885,NC,NC,no
DRD2,0.494743708587243,0.260820933687125,0.603082094265316,0.605721434631767,NC,NC,no
DRG1,1.00625094027942,0.0079292014988185,0.162835920635157,2.91946733032343e-12,UP,distal,no
DRG2,0.597698900722509,0.0927400648800116,0.408182047017176,0.2265538129031,NC,NC,no
DROSHA,0.447508137191656,0.0591414130563683,0.343032417546389,0.0937791727051438,UP,NC,no
DRP2,0.0503509660231136,0.929638728749738,0.97669907562873,1,NC,NC,no
DSC2,0.423787588530982,0.539089489993898,0.798860671970196,0.833050989732006,NC,NC,no
DSCAM,0.764521413831733,0.0549128766632647,0.33407173746148,0.00173124552708226,UP,distal,no
DSCR3,0.0436672522974066,0.479380127079355,0.761185163683825,0.847054222110885,NC,NC,no
DSEL,0.161108196965523,0.0699645473290269,0.36475993282223,0.300323952691552,NC,NC,no
DST,-0.0411920361010091,0.751975412071926,0.906985557093583,0.947980991826852,NC,NC,no
DSTN,0.0046139250479067,0.951326480800989,0.983485795210804,0.995267064011171,NC,NC,no
DSTYK,0.312725910989153,0.417389155068304,0.726585298196299,0.724692848967188,NC,NC,no
DTD2,0.10853097617625,0.82368422089108,0.935674636045102,0.997070550898887,NC,NC,no
DTL,-0.554460164766283,0.299587982590763,0.635829518189674,0.574182643388649,NC,NC,no
DTNB,1.35324110031528,0.083084785041159,0.390096555345667,0.179044417570648,NC,NC,no
DTWD1,0.480903410670799,0.173646535425847,0.5109500640047,0.665041061655474,NC,NC,no
DTWD2,-0.327023798885797,0.382357860000217,0.70235176701672,0.688224001079475,NC,NC,no
DTX1,0.0637452556632737,0.731005761696684,0.898189867248794,0.901262506647765,NC,NC,no
DTX4,0.154669437977237,0.343645565774082,0.671682328289345,0.608380032955443,NC,NC,no
DUOX1,0.163292167748316,0.304983791274487,0.641328424014687,0.693315536351208,NC,NC,no
DUS4L,0.52554120750819,0.227083621786623,0.569114771969658,0.450980634334714,NC,NC,no
DUSP1,0.30645371597404,0.00237385525360984,0.10365004685608,0.43906555624256,NC,NC,no
DUSP10,-0.420006202369893,0.117740271277309,0.449003716236198,0.31911803898034,NC,NC,no
DUSP11,-0.0745273358775058,0.890371121873789,0.961835445554902,0.994995619746098,NC,NC,no
DUSP16,0.0149146714512201,0.845025827783077,0.945814848316445,0.976390394740152,NC,NC,no
DUSP22,0.862140659965199,0.0822384865479083,0.388711283066959,0.0432039858948378,UP,distal,no
DUSP26,0.0678222828896464,0.705579074040877,0.888129913051977,0.937056340543765,NC,NC,no
DUSP28,0.47099623127592,0.0181798282014682,0.223267768580104,0.00735819553024811,UP,distal,no
DUSP3,0.08138108899662,0.379163785631481,0.700854532011229,0.73576147455615,NC,NC,no
DUSP4,0.15826119345723,0.0786012429179483,0.384108245630272,0.283543447725798,NC,NC,no
DUSP5,1.49431344230056,0.111645540316166,0.437457445322508,0.203444245912566,NC,NC,no
DUSP6,0.0698777562207154,0.250728103216468,0.592817966278346,0.806988080346839,NC,NC,no
DUSP7,0.136598090909192,0.167994484422505,0.506434917996884,0.522454123986428,NC,NC,no
DUSP8,-0.12355326803429,0.333455239063181,0.664529824778901,0.601813658461281,NC,NC,no
DUT,0.131903325550243,0.453409572839785,0.749028674189119,0.839471261523331,NC,NC,no
DVL3,0.328142870409425,0.0153686766916337,0.207799760229436,0.000379043027043791,UP,distal,no
DYM,0.716940246142407,0.00138159446878268,0.0866247505427014,5.86177631241089e-11,UP,distal,no
DYNC1H1,-0.026709225371105,0.761019122378023,0.912012936747005,0.924806111527533,NC,NC,no
DYNC1I2,-0.0524873932317869,0.69498808945931,0.883335656382612,0.888707616551489,NC,NC,no
DYNC1LI1,0.118231833275614,0.705043356668447,0.888129913051977,0.903265723694509,NC,NC,no
DYNC1LI2,0.16450021617895,0.0734759678694524,0.374441462641774,0.208837829006791,NC,NC,no
DYNLL1,0.229970713600286,0.220850659229094,0.562123857457847,0.366273981881805,NC,NC,no
DYNLL2,0.0733387628096733,0.628536151468358,0.849681097720534,0.863384394607065,NC,NC,no
