gene_id,gene_name,fisher_APA_sig,fisher_padj,APA_log2FC_plotting,deg_log2FC,deg_padj,deg_sig,coordinated_change,text_label
ENSG00000197217,ENTPD4,longer,1.8054409047251e-32,2.68173245613941,-0.194185171727956,0.00024614697056921,no,no,no
ENSG00000197245,FAM110D,longer,1.39129859744416e-08,1.7942202248431,0.0242579158188107,0.934846440727667,no,no,no
ENSG00000197302,KRBOX5,longer,2.78878456141496e-16,0.443975134399405,0.141448054397466,0.0845365831805404,no,no,no
ENSG00000197312,DDI2,longer,5.53222960263954e-08,0.391268260390443,0.610395949205654,5.19198482546955e-21,up,longer,no
ENSG00000197324,LRP10,longer,2.15318827170156e-12,0.612227875105119,-1.1765215875109,7.91484911766671e-07,dn,longer,no
ENSG00000197343,ZNF655,longer,4.98873848836746e-32,0.279212266688517,0.0402965310209122,0.598848594721468,no,no,no
ENSG00000197375,SLC22A5,longer,9.28867738636972e-34,1.40759754586446,0.90816205980111,7.26991424785506e-08,up,longer,no
ENSG00000197386,HTT,longer,1.3351102407746e-12,0.216102903104086,-0.0136957932255197,0.888077735583013,no,no,no
ENSG00000197415,VEPH1,shorter,1.26345959290908e-11,-0.877759952000418,-0.784858733415673,0.00073437048402252,dn,shorter,no
ENSG00000197461,PDGFA,longer,7.23758506085017e-09,0.895467572208294,-0.422318792157437,0.0327492035865116,no,no,no
ENSG00000197535,MYO5A,longer,1.07946702863426e-23,0.256702897470399,-0.0226489407996057,0.572798695910439,no,no,no
ENSG00000197563,PIGN,longer,0.00120195970500217,1.0383695624887,0.472216603717636,4.66479510083183e-05,no,no,no
ENSG00000197603,CPLANE1,longer,8.69159090723458e-05,0.433257923880832,0.212674463137003,0.000137030668529091,no,no,no
ENSG00000197694,SPTAN1,longer,2.54043447823795e-19,0.123771409439727,0.169830410224899,1.9249926274651e-07,no,no,no
ENSG00000197702,PARVA,shorter,0.024981863048016,-0.48742785091564,-0.168744929988898,0.45969210902371,no,no,no
ENSG00000197771,MCMBP,shorter,0.00675398690813335,-0.291008318153407,0.0220114251343628,0.77468583459078,no,no,no
ENSG00000197774,EME2,longer,0.00219316306339789,1.04371170016486,0.0919603953384645,0.604858662172852,no,no,no
ENSG00000197779,ZNF81,shorter,1.1264531611584e-10,-0.729584403263143,0.323592884875397,0.00102641741376205,no,no,no
ENSG00000197782,ZNF780A,longer,6.97436409900367e-06,0.324181599211743,-0.00731346625261266,0.950454283571946,no,no,no
ENSG00000197798,FAM118B,shorter,4.21894969692472e-17,-0.404458313449204,0.250487870178374,0.000789365587518031,no,no,no
ENSG00000197818,SLC9A8,longer,0.0292879708054253,0.0831319792821128,0.785493187690186,1.25298651060922e-05,up,longer,no
ENSG00000197857,ZNF44,shorter,2.1310734707579e-15,-1.23641248739661,0.0915884558108865,0.497337872582709,no,no,no
ENSG00000197872,CYRIA,longer,5.25361250236506e-07,1.1549077395111,0.409349249927566,1.70515191064793e-08,no,no,no
ENSG00000197894,ADH5,longer,1.82633157894199e-12,0.352957092961091,0.0200539397947398,0.764844616397976,no,no,no
ENSG00000197912,SPG7,longer,2.00034354259975e-13,0.120123274910202,0.078998044368234,0.180550337599591,no,no,no
ENSG00000197948,FCHSD1,longer,1.14352428426488e-08,0.622034499133503,0.38142577729982,0.00788787680263176,no,no,no
ENSG00000197965,MPZL1,longer,4.76474491165895e-19,0.732183021210971,0.0542182841230602,0.347918690598186,no,no,no
ENSG00000197971,MBP,shorter,3.18911822912454e-08,-0.0948714855858611,0.0593929186469001,0.566915521050898,no,no,no
ENSG00000198001,IRAK4,longer,2.01973699231475e-11,0.586961086751145,0.475379965270964,0.000345026673832155,no,no,no
ENSG00000198015,MRPL42,longer,8.65627051571252e-13,0.515714849669981,0.216502475447908,8.88895663928896e-12,no,no,no
ENSG00000198040,ZNF84,longer,2.98639867829755e-06,0.0867223805558287,-0.237533938415162,1.88426423294236e-06,no,no,no
ENSG00000198081,ZBTB14,longer,0.000237199182990235,0.70790167414586,0.700687306600076,3.07067027871852e-18,up,longer,no
ENSG00000198130,HIBCH,longer,1.58017484468452e-07,0.308285267202819,0.0566720902028953,0.687742223971764,no,no,no
ENSG00000198160,MIER1,longer,3.82466814506823e-07,2.17044822135426,0.315409892092734,4.12480951511949e-06,no,no,no
ENSG00000198162,MAN1A2,longer,1.38021492683433e-09,0.249032303765726,0.456378285203934,2.94828721764334e-22,no,no,no
ENSG00000198168,SVIP,longer,1.29994128356525e-27,1.04610599773989,-0.29736507548433,8.28965720179592e-15,no,no,no
ENSG00000198176,TFDP1,longer,3.50851591506127e-44,1.0389744844868,-0.445907897660187,2.46251033086968e-13,no,no,no
ENSG00000198185,ZNF334,longer,0.00139678704205474,0.985076312490279,0.00564078436518413,0.963025792186479,no,no,no
ENSG00000198198,SZT2,longer,8.14180531075724e-17,0.538325217336504,-0.283651497162847,0.0315274502769614,no,no,no
ENSG00000198208,RPS6KL1,longer,2.08853926374683e-06,0.94477275148817,-0.227964172738853,0.00109908489643815,no,no,no
ENSG00000198216,CACNA1E,longer,1.32921099119267e-08,1.15981309101212,0.68582314301518,5.89135303606365e-21,up,longer,no
ENSG00000198231,DDX42,longer,1.06810360692845e-11,0.267778035708624,0.248445592136203,3.56135154182213e-06,no,no,no
ENSG00000198242,RPL23A,shorter,1.77117188230432e-11,-0.344758086179149,0.0724150188108721,0.07621087376399,no,no,no
ENSG00000198246,SLC29A3,longer,1.06120243744673e-10,1.85387557493609,-0.0773333897935704,0.675108671132746,no,no,no
ENSG00000198342,ZNF442,longer,1.61453321187127e-05,0.882106508071402,0.659334007205637,8.02856092300209e-11,up,longer,no
ENSG00000198369,SPRED2,longer,1.18491527252442e-06,0.155603231277368,0.259380191340787,0.0440717854244356,no,no,no
ENSG00000198380,GFPT1,longer,3.10408268093884e-33,0.713727707294763,-0.31540205581012,4.63280381063437e-16,no,no,no
ENSG00000198382,UVRAG,longer,5.61492963984698e-18,0.765760160156006,0.507132969495988,1.73516310875136e-05,no,no,no
ENSG00000198453,ZNF568,shorter,0.000207178091743917,-1.17126289152227,0.203081296655694,0.060096339057568,no,no,no
ENSG00000198464,ZNF480,longer,4.56363895356907e-08,0.486217268138908,0.209708432372129,0.00526491967933476,no,no,no
ENSG00000198498,TMA16,longer,3.87668912714386e-05,0.664950590433519,-0.226534228356354,0.0891121660336856,no,no,no
ENSG00000198551,ZNF627,longer,0.00461850713702315,1.62803425891781,0.372128289108275,2.00172378797445e-17,no,no,no
ENSG00000198554,WDHD1,longer,2.47294126306931e-06,1.62654921552347,-0.173373846758875,0.184025273834649,no,no,no
ENSG00000198556,ZNF789,shorter,4.63392120355797e-08,-0.399214728064486,0.146043332901216,0.138608111740868,no,no,no
ENSG00000198563,DDX39B,longer,2.27560278372375e-14,0.145224632007217,0.0258828237152507,0.796647223986298,no,no,no
ENSG00000198585,NUDT16,longer,2.95165536411274e-50,0.666212021855295,0.39908970202901,9.88397589201975e-06,no,no,no
ENSG00000198597,ZNF536,shorter,0.000549191008140832,-0.14650225609281,0.0294131932864316,0.770649544945686,no,no,no
ENSG00000198625,MDM4,longer,2.46290095135957e-11,0.239440186064353,0.374051909852964,1.20604540672327e-05,no,no,no
ENSG00000198663,C6orf89,longer,1.15573954166863e-64,0.913188441153066,0.0759948513245118,0.366065367043357,no,no,no
ENSG00000198690,FAN1,longer,2.01674117709076e-09,0.581366488275254,-0.282822501836303,9.63400139065374e-05,no,no,no
ENSG00000198692,EIF1AY,longer,0.00965775516181269,0.494374245868461,0.238319415150902,0.249131499016374,no,no,no
ENSG00000198700,IPO9,longer,3.34331722599465e-62,1.28496296915258,-0.00957299564852274,0.856184717196176,no,no,no
ENSG00000198715,GLMP,longer,0.000106167497402405,0.851972129626232,-0.596807777057841,0.00402972443196995,dn,longer,no
ENSG00000198742,SMURF1,longer,2.83857365454726e-12,0.117845725925409,-0.14424764807705,0.0436938433153,no,no,no
ENSG00000198756,COLGALT2,longer,0.00318815405122327,1.46479552789264,0.413685262919623,0.0795136628582998,no,no,no
ENSG00000198791,CNOT7,longer,4.72170773342384e-12,0.701168773164343,-0.117887784110661,0.0242992816440483,no,no,no
ENSG00000198795,ZNF521,longer,1.49932518030431e-12,0.130576131227256,-0.120325423294635,0.173014572200781,no,no,no
ENSG00000198799,LRIG2,longer,1.57735423984152e-07,0.31885214470014,0.166886373278053,0.00451910408744411,no,no,no
ENSG00000198805,PNP,longer,3.28878910111748e-15,2.58533401347077,-0.0891267192539043,0.57917201968424,no,no,no
ENSG00000198825,INPP5F,longer,3.72262880785534e-22,0.323879455192604,-0.0835672259957829,0.107162459385055,no,no,no
ENSG00000198836,OPA1,longer,3.88707496417966e-11,1.64276547851198,-0.495420471993962,1.77697655724352e-39,no,no,no
ENSG00000198873,GRK5,longer,5.28591132530075e-37,1.09918823878805,0.211104048588874,9.33154034735434e-06,no,no,no
ENSG00000198879,SFMBT2,longer,0.0101999381123898,0.515256105715532,0.747592703225194,3.53889918551028e-10,up,longer,no
ENSG00000198887,SMC5,shorter,1.53973901083628e-11,-1.76424927314973,0.346310028165732,3.02329336811696e-07,no,no,no
ENSG00000198890,PRMT6,longer,0.00861314943580395,0.230774178234106,-0.543443115097173,1.08819107095443e-08,no,no,no
ENSG00000198898,CAPZA2,longer,4.83346156498271e-20,2.25272837285665,0.20404267334073,3.01088772798931e-05,no,no,no
ENSG00000198908,BHLHB9,longer,2.53529605069313e-11,0.507607530941676,0.66922375492204,1.1983846837705e-16,up,longer,no
ENSG00000198909,MAP3K3,longer,2.98507900197774e-05,0.0928752852829662,-0.25678223794544,1.1913202927271e-05,no,no,no
