groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000109762,SNX25,distal,no,0.4605037644639,0.400347837348821,1,1,0.412294880972723,1,0.400347837348821,no,no
ENSG00000109771,LRP2BP,distal,no,0.721522149378065,0.103723846018596,1,1,0.334803091946755,1,0.103723846018596,no,no
ENSG00000109787,KLF3,proximal,no,0.731152580144653,0.378428129919548,1,1,-0.195973889855292,1,0.378428129919548,no,no
ENSG00000109790,KLHL5,proximal,no,0.0624076793141785,0.0370646377100802,1,0.881599089306347,-0.946561160464493,0.881599089306347,0.0370646377100802,no,no
ENSG00000109794,FAM149A,distal,no,0.545257032681843,0.497987466220285,1,1,0.0808362262130231,1,0.497987466220285,no,no
ENSG00000109814,UGDH,proximal,no,0.737823047043639,0.620254961883933,1,1,-1.25928609235005,1,0.620254961883933,no,no
ENSG00000109819,PPARGC1A,proximal,no,0.471852628808816,0.0654513111449004,1,1,-17.2002152327921,1,0.0654513111449004,no,no
ENSG00000109832,DDX25,distal,no,0.998599920975984,0.951822776721244,1,1,0.0541094032113545,1,0.951822776721244,no,no
ENSG00000109911,ELP4,distal,no,0.346402164142106,0.430127073595497,1,1,0.649217173879086,1,0.346402164142106,no,no
ENSG00000109917,ZPR1,proximal,no,0.375813840515388,0.373075721730751,1,1,-0.920041997317573,1,0.373075721730751,no,no
ENSG00000109920,FNBP4,distal,no,0.403874968363128,0.594326904297456,1,1,0.460966267955255,1,0.403874968363128,no,no
ENSG00000109929,SC5D,proximal,no,0.336268634827898,0.211070333097073,1,1,-3.17593387608529,1,0.211070333097073,no,no
ENSG00000110002,VWA5A,proximal,no,1,1,1,1,-1.03341007648892,1,1,no,no
ENSG00000110048,OSBP,proximal,no,0.907182452903147,0.229069220387733,1,1,-14.6147998630817,1,0.229069220387733,no,no
ENSG00000110063,DCPS,distal,no,0.295448282132651,0.992981372409463,1,1,1.34508695633169,1,0.295448282132651,no,no
ENSG00000110075,PPP6R3,distal,no,0.779076147293475,0.0618964120605127,1,1,0.299876081336103,1,0.0618964120605127,no,no
ENSG00000110104,CCDC86,distal,no,0.964587613128858,0.971917486444212,1,1,0.573593209208114,1,0.964587613128858,no,no
ENSG00000110107,PRPF19,proximal,no,0.551702379957433,0.604750664063743,1,1,-0.196603138138697,1,0.551702379957433,no,no
ENSG00000110172,CHORDC1,distal,no,0.687616265843835,0.706201216389922,1,1,0.459566295319172,1,0.687616265843835,no,no
ENSG00000110218,PANX1,proximal,no,0.755256492541222,0.74911185116717,1,1,-0.33721041692125,1,0.74911185116717,no,no
ENSG00000110237,ARHGEF17,distal,no,0.667804556500033,0.600808176789376,1,1,0.56118603758108,1,0.600808176789376,no,no
ENSG00000110274,CEP164,distal,no,0.731834013877052,0.782727503042751,1,1,0.633474737733704,1,0.731834013877052,no,no
ENSG00000110315,RNF141,distal,no,0.65037903328684,0.435831095825,1,1,0.0173274389661859,1,0.435831095825,no,no
ENSG00000110318,CEP126,distal,no,0.662934567235736,0.600130843804889,1,1,0.316512861390855,1,0.600130843804889,no,no
ENSG00000110400,NECTIN1,proximal,no,0.115020322414746,0.129179291601209,1,1,-0.544110018198255,1,0.115020322414746,no,no
ENSG00000110422,HIPK3,proximal,no,0.656808130423739,0.442210370478891,1,1,-0.102595641488305,1,0.442210370478891,no,no
ENSG00000110427,KIAA1549L,distal,no,0.594971397912874,0.581037105440769,1,1,0.0244157249204466,1,0.581037105440769,no,no
ENSG00000110442,COMMD9,distal,no,0.841630354614589,0.942238355005774,1,1,0.00789029276961983,1,0.841630354614589,no,no
ENSG00000110455,ACCS,proximal,no,0.762295812882436,0.762134003804969,1,1,-0.479863600773443,1,0.762134003804969,no,no
ENSG00000110536,PTPMT1,proximal,no,0.860757233838105,0.891660583337674,1,1,-0.0830949424529575,1,0.860757233838105,no,no
ENSG00000110583,NAA40,distal,no,0.29324168216231,0.272562928633495,1,1,0.225552917538862,1,0.272562928633495,no,no
ENSG00000110651,CD81,proximal,no,0.257729970459391,0.362030880442007,1,1,-0.348843082294982,1,0.257729970459391,no,no
ENSG00000110721,CHKA,distal,no,0.830382074458761,0.857130995453477,1,1,0.404715508388993,1,0.830382074458761,no,no
ENSG00000110756,HPS5,proximal,no,0.979808213198676,0.911973236124365,1,1,-1.31839694118311,1,0.911973236124365,no,no
ENSG00000110768,GTF2H1,proximal,no,0.874349137783732,0.0214050037998925,1,0.72203661163431,-0.434727565505233,0.72203661163431,0.0214050037998925,no,no
ENSG00000110801,PSMD9,distal,no,0.795177018706426,0.791546397882227,1,1,0.351536736305452,1,0.791546397882227,no,no
ENSG00000110841,PPFIBP1,proximal,no,0.289685702538724,0.263291892304973,1,1,-1.2408603817934,1,0.263291892304973,no,no
